Date,Time,Name,Team,Enemy,Duration,Win,Spell1,Spell2,Kills,Deaths,Assists,CS,Gold,Item1,Item2,Item3,Item4,Item5,Item6,Team Ban 1,Team Ban 2,Team Ban 3,Enemy Ban 1,Enemy Ban 2,Enemy Ban 3
7/18/2013,15:00,KiWiKiD,Team Dignitas,Team Vulcun,(29:02),0,Flash,Ignite,3,7,0,159,7.5k,Liandry's Torment,Sorcerer's Shoes - Homeguard,Giant's Belt,Doran's Shield,Amplifying Tome,Sight Ward,Elise,Evelynn,Twisted Fate,Zed,Kennen,Lissandra
7/18/2013,15:00,Crumbzz,Team Dignitas,Team Vulcun,(29:02),0,Smite,Flash,0,6,3,97,5.4k,Spirit of the Ancient Golem,Ninja Tabi,Ruby Crystal,Null-Magic Mantle,Cloth Armor,Empty,Elise,Evelynn,Twisted Fate,Zed,Kennen,Lissandra
7/18/2013,15:00,Scarra,Team Dignitas,Team Vulcun,(29:02),0,Flash,Ignite,0,5,0,195,7.1k,Frozen Heart,Catalyst the Protector,Sorcerer's Shoes,Tear of the Goddess,Empty,Empty,Elise,Evelynn,Twisted Fate,Zed,Kennen,Lissandra
7/18/2013,15:00,Imaqtpie,Team Dignitas,Team Vulcun,(29:02),0,Flash,Barrier,2,5,2,242,9.3k,Infinity Edge,Phantom Dancer,Berserker's Greaves - Homeguard,Doran's Blade,Empty,Empty,Elise,Evelynn,Twisted Fate,Zed,Kennen,Lissandra
7/18/2013,15:00,Patoy,Team Dignitas,Team Vulcun,(29:02),0,Ignite,Flash,1,5,4,32,5.1k,Ruby Sightstone,Boots of Mobility,Health Potion,Empty,Empty,Empty,Elise,Evelynn,Twisted Fate,Zed,Kennen,Lissandra
7/18/2013,16:00,Nientonsoh,Counter Logic Gaming,Velocity eSports,(51:34),0,Ghost,Ignite,2,5,3,370,16k,Blade of the Ruined King,Randuin's Omen,Sunfire Cape,Guardian Angel,Ninja Tabi - Homeguard,Chain Vest,Kayle,Evelynn,Rumble,Elise,Jayce,Twisted Fate
7/18/2013,16:00,Bigfatlp,Counter Logic Gaming,Velocity eSports,(51:34),0,Smite,Flash,0,4,5,104,10k,Runic Bulwark,Spirit of the Ancient Golem,Warden's Mail,Ninja Tabi,Chain Vest,Null-Magic Mantle,Kayle,Evelynn,Rumble,Elise,Jayce,Twisted Fate
7/18/2013,16:00,Link,Counter Logic Gaming,Velocity eSports,(51:34),0,Flash,Ignite,0,3,4,438,17k,Iceborn Gauntlet,Blade of the Ruined King,Last Whisper,Muramana,Ionian Boots of Lucidity,B.F. Sword,Kayle,Evelynn,Rumble,Elise,Jayce,Twisted Fate
7/18/2013,16:00,Doublelift,Counter Logic Gaming,Velocity eSports,(51:34),0,Flash,Barrier,4,3,0,506,20.6k,Infinity Edge,Mercurial Scimitar,The Bloodthirster,Phantom Dancer,Last Whisper,Berserker's Greaves - Homeguard,Kayle,Evelynn,Rumble,Elise,Jayce,Twisted Fate
7/18/2013,16:00,Chauster,Counter Logic Gaming,Velocity eSports,(51:34),0,Exhaust,Flash,0,3,4,45,10.3k,Shurelya's Reverie,Ruby Sightstone,Boots of Mobility - Homeguard,Empty,Empty,Empty,Kayle,Evelynn,Rumble,Elise,Jayce,Twisted Fate
